Source,Target,JourneyText,07-2012,08-2012,09-2012,10-2012,11-2012,12-2012,01-2013,02-2013,Weight
"Turquoise Island, Notting Hill","Turquoise Island, Notting Hill","Turquoise Island, Notting Hill to Turquoise Island, Notting Hill",0,0,0,0,0,1,0,0,1
"Cumberland Gate, Hyde Park","Devonshire Terrace, Bayswater","Cumberland Gate, Hyde Park to Devonshire Terrace, Bayswater",0,0,0,0,0,1,0,0,1
"Turquoise Island, Notting Hill","Albert Gate, Hyde Park","Turquoise Island, Notting Hill to Albert Gate, Hyde Park",0,0,0,0,0,1,0,0,1
"Royal Avenue 1, Chelsea","Royal Avenue 2, Chelsea","Royal Avenue 1, Chelsea to Royal Avenue 2, Chelsea",0,0,0,0,0,1,0,0,1
"Royal Avenue 2, Chelsea","Cumberland Gate, Hyde Park","Royal Avenue 2, Chelsea to Cumberland Gate, Hyde Park",0,0,0,0,0,1,0,0,1
"Gloucester Terrace, Bayswater","Whiteley's, Bayswater","Gloucester Terrace, Bayswater to Whiteley's, Bayswater",0,0,0,0,0,1,3,0,4
"Black Lion Gate, Kensington Gardens","Westbourne Grove, Bayswater","Black Lion Gate, Kensington Gardens to Westbourne Grove, Bayswater",0,0,0,0,0,1,0,0,1
"Bishop's Bridge Road East, Bayswater","Belgrove Street , King's Cross","Bishop's Bridge Road East, Bayswater to Belgrove Street , King's Cross",0,0,0,0,0,1,0,0,1
"Frith Street, Soho","Lancaster Gate , Bayswater","Frith Street, Soho to Lancaster Gate , Bayswater",0,0,0,0,0,1,1,0,2
"Moor Street, Soho","Speakers' Corner 2, Hyde Park","Moor Street, Soho to Speakers' Corner 2, Hyde Park",0,0,0,0,0,1,0,0,1
"Great Marlborough Street, Soho","Craven Street, Strand","Great Marlborough Street, Soho to Craven Street, Strand",0,0,0,0,0,1,0,0,1
"Chelsea Bridge, Pimlico","Butler Place, Westminster","Chelsea Bridge, Pimlico to Butler Place, Westminster",0,0,0,0,0,0,1,0,1
"Natural History Museum, South Kensington","Royal Avenue 2, Chelsea","Natural History Museum, South Kensington to Royal Avenue 2, Chelsea",0,0,0,0,0,0,1,0,1
"Broadwick Street, Soho","Whiteley's, Bayswater","Broadwick Street, Soho to Whiteley's, Bayswater",0,0,0,0,0,0,3,0,3
"Sardinia Street, Holborn","Howland Street, Fitzrovia","Sardinia Street, Holborn to Howland Street, Fitzrovia",0,0,0,0,0,0,1,0,1
"Tavistock Place, Bloomsbury","Sardinia Street, Holborn","Tavistock Place, Bloomsbury to Sardinia Street, Holborn",0,0,0,0,0,0,1,0,1
"Southampton Place, Holborn","Bishop's Bridge Road West, Bayswater","Southampton Place, Holborn to Bishop's Bridge Road West, Bayswater",0,0,0,0,0,0,1,0,1
"Butler Place, Westminster","Devonshire Terrace, Bayswater","Butler Place, Westminster to Devonshire Terrace, Bayswater",0,0,0,0,0,0,1,0,1
"Royal Avenue 2, Chelsea","Chelsea Bridge, Pimlico","Royal Avenue 2, Chelsea to Chelsea Bridge, Pimlico",0,0,0,0,0,0,1,0,1
"Howland Street, Fitzrovia","Soho Square , Soho","Howland Street, Fitzrovia to Soho Square , Soho",0,0,0,0,0,0,1,0,1
"Notting Hill Gate Station, Notting Hill","Natural History Museum, South Kensington","Notting Hill Gate Station, Notting Hill to Natural History Museum, South Kensington",0,0,0,0,0,0,1,0,1
"Lancaster Gate , Bayswater","Charles II Street, West End","Lancaster Gate , Bayswater to Charles II Street, West End",0,0,0,0,0,0,1,0,1
"Charles II Street, West End","William IV Street, Strand","Charles II Street, West End to William IV Street, Strand",0,0,0,0,0,0,1,0,1
"Little Argyll Street, West End","Eastbourne Mews, Paddington","Little Argyll Street, West End to Eastbourne Mews, Paddington",0,0,0,0,0,0,1,0,1
"Eastbourne Mews, Paddington","Westbourne Grove, Bayswater","Eastbourne Mews, Paddington to Westbourne Grove, Bayswater",0,0,0,0,0,0,1,0,1
"Westbourne Grove, Bayswater","Gloucester Terrace, Bayswater","Westbourne Grove, Bayswater to Gloucester Terrace, Bayswater",0,0,0,0,0,0,1,0,1
"Pembridge Villas, Notting Hill","Lancaster Gate , Bayswater","Pembridge Villas, Notting Hill to Lancaster Gate , Bayswater",0,0,0,0,0,0,1,0,1
"Southampton Place, Holborn","Soho Square , Soho","Southampton Place, Holborn to Soho Square , Soho",0,0,0,0,0,0,1,0,1
"Westbourne Grove, Bayswater","Butler Place, Westminster","Westbourne Grove, Bayswater to Butler Place, Westminster",0,0,0,0,0,0,1,0,1
"Butler Place, Westminster","Craven Street, Strand","Butler Place, Westminster to Craven Street, Strand",0,0,0,0,0,0,1,0,1
"Tavistock Place, Bloomsbury","William IV Street, Strand","Tavistock Place, Bloomsbury to William IV Street, Strand",0,0,0,0,0,0,1,0,1
"William IV Street, Strand","Moor Street, Soho","William IV Street, Strand to Moor Street, Soho",0,0,0,0,0,0,1,0,1
"Moor Street, Soho","Cardinal Place, Victoria","Moor Street, Soho to Cardinal Place, Victoria",0,0,0,0,0,0,1,0,1
"Cardinal Place, Victoria","Gloucester Terrace, Bayswater","Cardinal Place, Victoria to Gloucester Terrace, Bayswater",0,0,0,0,0,0,1,0,1
"Gloucester Terrace, Bayswater","Charlotte Street, Fitzrovia","Gloucester Terrace, Bayswater to Charlotte Street, Fitzrovia",0,0,0,0,0,0,1,0,1
"Charlotte Street, Fitzrovia","Russell Square Station, Bloomsbury","Charlotte Street, Fitzrovia to Russell Square Station, Bloomsbury",0,0,0,0,0,0,1,0,1
"Southampton Place, Holborn","Frith Street, Soho","Southampton Place, Holborn to Frith Street, Soho",0,0,0,0,0,0,1,0,1
"Gloucester Terrace, Bayswater","Devonshire Terrace, Bayswater","Gloucester Terrace, Bayswater to Devonshire Terrace, Bayswater",0,0,0,0,0,0,1,0,1
"Lancaster Gate , Bayswater","Old Quebec Street, Marylebone","Lancaster Gate , Bayswater to Old Quebec Street, Marylebone",0,0,0,0,0,0,1,0,1
"Old Quebec Street, Marylebone","Little Argyll Street, West End","Old Quebec Street, Marylebone to Little Argyll Street, West End",0,0,0,0,0,0,1,0,1
"Little Argyll Street, West End","Bayswater Road, Hyde Park","Little Argyll Street, West End to Bayswater Road, Hyde Park",0,0,0,0,0,0,1,0,1
"Bayswater Road, Hyde Park","Westbourne Grove, Bayswater","Bayswater Road, Hyde Park to Westbourne Grove, Bayswater",0,0,0,0,0,0,1,0,1
"Southampton Place, Holborn","Bayley Street , Bloomsbury","Southampton Place, Holborn to Bayley Street , Bloomsbury",0,0,0,0,0,0,1,0,1
"Bayley Street , Bloomsbury","Whiteley's, Bayswater","Bayley Street , Bloomsbury to Whiteley's, Bayswater",0,0,0,0,0,0,1,0,1
"Frith Street, Soho","Bayswater Road, Hyde Park","Frith Street, Soho to Bayswater Road, Hyde Park",0,0,0,0,0,0,1,0,1
"Bayswater Road, Hyde Park","Gloucester Terrace, Bayswater","Bayswater Road, Hyde Park to Gloucester Terrace, Bayswater",0,0,0,0,0,0,3,0,3
"Gloucester Terrace, Bayswater","Westbourne Grove, Bayswater","Gloucester Terrace, Bayswater to Westbourne Grove, Bayswater",0,0,0,0,0,0,1,0,1
"St. John's Wood Church, Regent's Park","Belgrove Street , King's Cross","St. John's Wood Church, Regent's Park to Belgrove Street , King's Cross",0,0,0,0,0,0,1,0,1
"Bishop's Bridge Road West, Bayswater","Gloucester Terrace, Bayswater","Bishop's Bridge Road West, Bayswater to Gloucester Terrace, Bayswater",0,0,0,0,0,0,1,0,1
"Whiteley's, Bayswater","Gloucester Terrace, Bayswater","Whiteley's, Bayswater to Gloucester Terrace, Bayswater",0,0,0,0,0,0,1,0,1
"Lancaster Gate , Bayswater","Lansdowne Walk, Notting Hill","Lancaster Gate , Bayswater to Lansdowne Walk, Notting Hill",0,0,0,0,0,0,1,0,1
"Lansdowne Walk, Notting Hill","Lancaster Gate , Bayswater","Lansdowne Walk, Notting Hill to Lancaster Gate , Bayswater",0,0,0,0,0,0,1,0,1
"Belgrove Street , King's Cross","Speakers' Corner 1, Hyde Park","Belgrove Street , King's Cross to Speakers' Corner 1, Hyde Park",0,0,0,0,0,0,1,0,1
"Speakers' Corner 1, Hyde Park","Whiteley's, Bayswater","Speakers' Corner 1, Hyde Park to Whiteley's, Bayswater",0,0,0,0,0,0,1,0,1
"Gloucester Terrace, Bayswater","Bishop's Bridge Road West, Bayswater","Gloucester Terrace, Bayswater to Bishop's Bridge Road West, Bayswater",0,0,0,0,0,0,1,0,1
"Moor Street, Soho","Earnshaw Street , Covent Garden","Moor Street, Soho to Earnshaw Street , Covent Garden",0,0,0,0,0,0,1,0,1
"Earnshaw Street , Covent Garden","Old Quebec Street, Marylebone","Earnshaw Street , Covent Garden to Old Quebec Street, Marylebone",0,0,0,0,0,0,1,0,1
"Old Quebec Street, Marylebone","Bishop's Bridge Road West, Bayswater","Old Quebec Street, Marylebone to Bishop's Bridge Road West, Bayswater",0,0,0,0,0,0,1,0,1
"Black Lion Gate, Kensington Gardens","Hyde Park Corner, Hyde Park","Black Lion Gate, Kensington Gardens to Hyde Park Corner, Hyde Park",0,0,0,0,0,0,1,0,1
"Hyde Park Corner, Hyde Park","Kennington Road  , Vauxhall","Hyde Park Corner, Hyde Park to Kennington Road  , Vauxhall",0,0,0,0,0,0,1,0,1
"Geraldine Street, Elephant & Castle","Wellington Street , Strand","Geraldine Street, Elephant & Castle to Wellington Street , Strand",0,0,0,0,0,0,1,0,1
"Belgrove Street , King's Cross","Sardinia Street, Holborn","Belgrove Street , King's Cross to Sardinia Street, Holborn",0,0,0,0,0,0,1,0,1
"Sardinia Street, Holborn","Geraldine Street, Elephant & Castle","Sardinia Street, Holborn to Geraldine Street, Elephant & Castle",0,0,0,0,0,0,1,0,1
"Geraldine Street, Elephant & Castle","Lancaster Gate , Bayswater","Geraldine Street, Elephant & Castle to Lancaster Gate , Bayswater",0,0,0,0,0,0,1,0,1
"Gloucester Terrace, Bayswater","Ilchester Gardens, Bayswater","Gloucester Terrace, Bayswater to Ilchester Gardens, Bayswater",0,0,0,0,0,0,1,0,1
"Westbourne Grove, Bayswater","Edgware Road Station, Paddington","Westbourne Grove, Bayswater to Edgware Road Station, Paddington",0,0,0,0,0,0,1,0,1
"Edgware Road Station, Paddington","Belgrove Street , King's Cross","Edgware Road Station, Paddington to Belgrove Street , King's Cross",0,0,0,0,0,0,1,0,1
"William IV Street, Strand","Broadwick Street, Soho","William IV Street, Strand to Broadwick Street, Soho",0,0,0,0,0,0,1,0,1
"Broadwick Street, Soho","Gloucester Terrace, Bayswater","Broadwick Street, Soho to Gloucester Terrace, Bayswater",0,0,0,0,0,0,1,0,1
"Bishop's Bridge Road East, Bayswater","William IV Street, Strand","Bishop's Bridge Road East, Bayswater to William IV Street, Strand",0,0,0,0,0,0,1,0,1
"Gloucester Terrace, Bayswater","Gloucester Terrace, Bayswater","Gloucester Terrace, Bayswater to Gloucester Terrace, Bayswater",0,0,0,0,0,0,1,0,1
"Bishop's Bridge Road East, Bayswater","Russell Square Station, Bloomsbury","Bishop's Bridge Road East, Bayswater to Russell Square Station, Bloomsbury",0,0,0,0,0,0,1,0,1
"Elizabeth Bridge, Victoria","Kingsway, Covent Garden","Elizabeth Bridge, Victoria to Kingsway, Covent Garden",0,0,0,0,0,0,1,0,1
"Kingsway, Covent Garden","Belgrove Street , King's Cross","Kingsway, Covent Garden to Belgrove Street , King's Cross",0,0,0,0,0,0,1,0,1
"Hampstead Road, Euston","Gloucester Terrace, Bayswater","Hampstead Road, Euston to Gloucester Terrace, Bayswater",0,0,0,0,0,0,1,0,1
"Moor Street, Soho","William IV Street, Strand","Moor Street, Soho to William IV Street, Strand",0,0,0,0,0,0,1,0,1
"William IV Street, Strand","Earnshaw Street , Covent Garden","William IV Street, Strand to Earnshaw Street , Covent Garden",0,0,0,0,0,0,1,0,1
"Frith Street, Soho","Charlotte Street, Fitzrovia","Frith Street, Soho to Charlotte Street, Fitzrovia",0,0,0,0,0,0,1,0,1
"Charlotte Street, Fitzrovia","Broadwick Street, Soho","Charlotte Street, Fitzrovia to Broadwick Street, Soho",0,0,0,0,0,0,1,0,1
"Wardour Street, Soho","Craven Street, Strand","Wardour Street, Soho to Craven Street, Strand",0,0,0,0,0,0,3,0,3
"William IV Street, Strand","Wellington Street , Strand","William IV Street, Strand to Wellington Street , Strand",0,0,0,0,0,0,1,0,1
"William IV Street, Strand","William IV Street, Strand","William IV Street, Strand to William IV Street, Strand",0,0,0,0,0,0,1,0,1
"William IV Street, Strand","Craven Street, Strand","William IV Street, Strand to Craven Street, Strand",0,0,0,0,0,0,1,1,2
"William IV Street, Strand","Whitehall Place, Strand","William IV Street, Strand to Whitehall Place, Strand",0,0,0,0,0,0,1,0,1
"William IV Street, Strand","Westbourne Grove, Bayswater","William IV Street, Strand to Westbourne Grove, Bayswater",0,0,0,0,0,0,1,0,1
"Westbourne Grove, Bayswater","William IV Street, Strand","Westbourne Grove, Bayswater to William IV Street, Strand",0,0,0,0,0,0,1,0,1
"Great Russell Street, Bloomsbury","Westminster University, Marylebone","Great Russell Street, Bloomsbury to Westminster University, Marylebone",0,0,0,0,0,0,1,0,1
"Westminster University, Marylebone","Belgrove Street , King's Cross","Westminster University, Marylebone to Belgrove Street , King's Cross",0,0,0,0,0,0,1,0,1
"Soho Square , Soho","Paddington Street, Marylebone","Soho Square , Soho to Paddington Street, Marylebone",0,0,0,0,0,0,1,0,1
"Paddington Street, Marylebone","George Street, Marylebone","Paddington Street, Marylebone to George Street, Marylebone",0,0,0,0,0,0,1,0,1
"George Street, Marylebone","Belgrove Street , King's Cross","George Street, Marylebone to Belgrove Street , King's Cross",0,0,0,0,0,0,1,0,1
"British Museum, Bloomsbury","Russell Square Station, Bloomsbury","British Museum, Bloomsbury to Russell Square Station, Bloomsbury",0,0,0,0,0,0,1,0,1
"Brunswick Square, Bloomsbury","Drury Lane, Covent Garden","Brunswick Square, Bloomsbury to Drury Lane, Covent Garden",0,0,0,0,0,0,1,0,1
"Drury Lane, Covent Garden","William IV Street, Strand","Drury Lane, Covent Garden to William IV Street, Strand",0,0,0,0,0,0,0,1,1
"Brunswick Square, Bloomsbury","Wardour Street, Soho","Brunswick Square, Bloomsbury to Wardour Street, Soho",0,0,0,0,0,0,0,1,1
"Craven Street, Strand","Charles II Street, West End","Craven Street, Strand to Charles II Street, West End",0,0,0,0,0,0,0,1,1
"St. Martin's Street, West End","Russell Square Station, Bloomsbury","St. Martin's Street, West End to Russell Square Station, Bloomsbury",0,0,0,0,0,0,0,1,1
"Brunswick Square, Bloomsbury","Earnshaw Street , Covent Garden","Brunswick Square, Bloomsbury to Earnshaw Street , Covent Garden",0,0,0,0,0,0,0,1,1
"Earnshaw Street , Covent Garden","Panton Street, West End","Earnshaw Street , Covent Garden to Panton Street, West End",0,0,0,0,0,0,0,1,1
"Wardour Street, Soho","Tavistock Place, Bloomsbury","Wardour Street, Soho to Tavistock Place, Bloomsbury",0,0,0,0,0,0,0,1,1
